#bpm=120
#bgSound=mhall_bg
#samplePrefix=mhall_
#fullName=mary_had_a_little_lamb
#beat,sample,animation,row
1,s1,a1@120,1
2,s2,a1@120,2
3,s3,a1@120,4
4,s2,a1@120,2
5,s1,a1@120,1
6,s1,a1@120,1
7,s1,a1@120,1
#8,-,-,-,-
#PAGE 2
9,s2,a1@120,3
10,s2,a1@120,3
11,s2,a1@120,3
#12,-,-,-,-
13,s1,a1@120,2
14,s4,a1@120,1
15,s4,a1@120,1
#16,-,-,-,-
#page 3
17,s1,a1@120,1
18,s2,a1@120,2
19,s3,a1@120,3
20,s2,a1@120,2
21,s1,a1@120,1
22,s1,a1@120,1
23,s1,a1@120,1
24,s1,a1@120,1
#page 4
25,s2,a1@120,2
26,s2,a1@120,2
27,s1,a1@120,1
28,s2,a1@120,2
29,s3,a1@120,3
#30,-,-,-,-
#31,-,-,-,-
#32,-,-,-,-
