#bpm=120
#bgSound=tmm_bg
#samplePrefix=tmm_
#fullName=the_muffin_man
#beat,sample,animation,row
1,s10,a1@120,4
2,s1,a1@120,3
3,s1,a1@120,3
4,s2,a5@120,2
5,s3,a1@120,1
6,s1,a1@120,3
7,s1,a1@120,3
8,s4,a5@120,4
#page 2
9,s5,a1@120,1
10,s6,a1@120,2
11,s6,a1@120,2
12,s7,a5@120,2
13,s8,a1@120,3
14,s10,a1@120,4
15,s10,a1@120,4
#16,,,
#page 3
17,s10,a1@120,4
18,s1,a1@120,3
19,s1,a1@120,3
20,s2,a5@120,2
21,s3,a1@120,1
22,s1,a1@120,3
23,s1,a1@120,3
24,s1,a1@120,3
#page 4
25,s6,a1@120,2
26,s6,a1@120,2
27,s10,a1@120,4
28,s10,a1@120,4
29,s1,a1@120,3
#30,,,
#31,,,
#32,,,
