#bpm=60,,,
#bgSound=rd_bg,,,
#samplePrefix=rd_,,,
#fullName=rubber_duckie
#beat,sample,animation,row
#PAGE 1,,,
1,s1a,a10,3
1,s1b,a11,4
2,s2a,a9,4
2,s2b,a5,3
3,s3a,a9,3
3,s3b,a5,1
3,s3c,a11,2
4,-,-,
5,s4a,a10,3
5,s4b,a11,4
6,s5a,a9,4
6,s5b,a5,3
7,s6a,a9,3
7,s6b,a10,1
7,s6c,a11,2
8,-,-
#PAGE 2,,
9,s7a,a10,1
9,s7b,a11,3
10,s8a,a9,1
10,s8b,a5,3
10,s8c,a10,4
11,s9a,a9,2
11,s9b,a5,1
11,s9c,a10,3
11,s9d,a11,4
12,s10,a10,4
13,s11,a1,3
14,-,-
15,s16,a13,3
16,s13a,a5,2
16,s13b,a10,3
#PAGE 3,,
17,s1a,a10,3
17,s1b,a11,4
18,s2a,a9,4
18,s2b,a5,3
19,s3a,a9,3
19,s3b,a10,1
19,s3c,a11,2
20,-,-
21,s4a,a10,2
21,s4b,a11,3
22,s5a,a9,2
22,s5b,a5,3
23,s6a,a9,2
23,s6b,a10,1
23,s6c,a11,3
24,-,-
#PAGE 4,,
25,s7a,a10,1
25,s7b,a11,2
26,s12a,a9,1
26,s12b,a5,2
26,s12c,a10,3
26,s12d,a11,4
27,s9a,a9,2
27,s9b,a5,1
27,s9c,a10,3
27,s9d,a11,4
28,s15,a10,2
29,s14,a1,1
30,-,-
31,-,-
32,-,-
