#bpm=60
#bgSound=tbm_bg
#samplePrefix=tbm_
#fullName=three_blind_mice
#PAGE 1,,,
1,s1,a1,2	
2,s2,a1,3
3,s3,a1,4
#4,-,-,-
5,s1,a1,2
6,s2,a1,3
7,s3,a1,4
#8,-,-,-
#PAGE 2,,,
9,s4,a1,1
10,s5,a2,2
11,s6,a1,3
12,-,-,-
13,s4,a1,1
14,s5,a2,2
15,s7,a1,3
16,s8,a3,1
#PAGE 3,,,
17,s9,a2,1
18,s10a,a4,2
18,s10b,a5,3
19,s11a,a1,1
19,s11b,a3,4
20,s12,a2,4
21,s13,a6,2
22,s14a,a4,2
22,s14b,a5,3
23,s11a,a1,4
23,s11b,a10,3
24,s15,a6,4
#PAGE 4,,,
25,s9,a2,1
26,s14a,a4,2
26,s14b,a5,3
27,s16a,a1,1
27,s16b,a7,3
28,s17a,a1,3
28,s17b,a3,4
29,s1,a1,2
30,s2,a1,3
31,s3,a1,4
#32,-,-,-
