#bpm=75
#bgSound=yd_bg
#samplePrefix=yd_
#fullName=yankee_doodle
#beat,sample,animation,row
#PAGE 1,,,
1,s1,a8@75,3
2,s2a,a9,2
2,s2b,a5@75,1
3,s3a,a9,3
3,s3b,a5@75,1
4,s4a,a9,3
4,s4b,a5@75,4
5,s1,a8@75,3
6,s2a,a9,2
6,s2b,a5@75,1
7,s5,a1,3
8,s6a,a9,3
8,s6b,a5@75,4
#PAGE 2,,,
9,s1,a8@75,3
10,s2a,a9,3
10,s2b,a5@75,2
11,s7a,a9,1
11,s7b,a5@75,2
12,s8a,a9,3
12,s8b,a5@75,4
13,s6a,a9,3
13,s6b,a5@75,4
14,s9a,a9,2
14,s9b,a5@75,1
15,s5,a1,3
16,s5,a1,3
#PAGE 3,,,
17,s9a,a9,3
17,s9b,a5@75,2
18,s9a,a9,3
18,s4b,a5@75,4
19,s18a,a9,3
19,s18b,a5@75,2
20,s5,a1,1
21,s11a,a9,3
21,s11b,a10@75,2
22,s12a,a9,3
22,s12b,a5@75,4
23,s13,a1,4
24,s14,a1,3
#PAGE 4,,,
25,s9a,a9,3
25,s9b,a5@75,2
26,s9a,a9,3
26,s4b,a5@75,4
27,s9a,a9,3
27,s9b,a5@75,2
28,s15a,a9,1
28,s15b,a5@75,2
29,s16a,a9,3
29,s16b,a5@75,2
30,s17a,a9,3
30,s17b,a5@75,1
31,s5,a1,2
32,s5,a1,2
